posicao,titulo,tipo,preco,moeda,cidade,estado,bairro,quartos,banheiros,area_m2,descricao,url,erro
1,"Terreno à venda, Boa Vista, Ponta Grossa, PR",RealEstateListing,55000000,BRL,,,,,,,"Atenção Empresários e Indústrias  Grande oportunidade de investimento em Ponta Grossa – PR!  Área com 208.000 m², em localização privilegiada, situada em frente à PR-151. Ideal para projetos agrícolas, industriais ou comerciais, com fácil acesso, excelente visibilidade e alto potencial de valorização.  Não perca essa chance única de expandir seus negócios em uma das regiões mais estratégicas do estado!",https://www.adquiraimoveis.net/imovel/terreno/venda/ponta-grossa/pr/boa-vista/TE1548_IMBADQ,
2,"Terreno à venda, Uvaranas, Ponta Grossa, PR",RealEstateListing,52000000,BRL,,,,,,,"**Descrição para Investidores e Incorporadoras**  Área urbana com **830.570,35 m²**, situada em localização estratégica na **Rua Arichemes Carlos Gobbo, bairro Neves, Ponta Grossa – PR**. O terreno está legalmente constituído como **Loteamento** e conta com **projeto aprovado para 1.357 lotes residenciais**, garantindo agilidade no início das obras e segurança jurídica para o desenvolvimento.  Região com alto potencial de valorização, próxima a áreas em expansão urbana, com fácil acesso a vias principais, serviços e infraestrutura pública. Excelente oportunidade para **incorporações de médio e grande porte**, com possibilidade de atuação em diferentes fases: urbanização, comercialização e construção.  **Destaques:**  * Projeto aprovado: 1.357 lotes * Total da área: 830.570,35 m² * Localização urbana e acessível * Potencial para loteamento residencial e/ou projetos mistos  **Oportunidade pronta para desenvolvimento imediato.** Ideal para investidores que buscam escala, retorno sólido e posicionamento estratégico no mercado imobiliário de Ponta Grossa.",https://www.adquiraimoveis.net/imovel/terreno/venda/ponta-grossa/pr/uvaranas/TE1541_IMBADQ,
3,"Terreno à venda 22047M², Jardim Colonial, Castro - PR",RealEstateListing,33000000,BRL,,,,,,,"Excelente terreno para instalação comercial, próximo a entrada da cidade de Castro. o terreno encontra-se na avenida principal que liga ate a regiao de Castrolanda, o terreno possui 242 metros de frente para a avenida. esta dividido em 3 matriculas.   Entre em contato conosco para mais informações! Estamos à disposição!",https://www.adquiraimoveis.net/imovel/terreno/venda/castro/pr/jardim-colonial/TE0230_IMBADQ,
4,"Terreno à venda, Chapada, Ponta Grossa, PR",RealEstateListing,26000000,BRL,,,,,,,"📍 Terreno Comercial à Venda – Avenida Souza Naves  🌟 Excelente oportunidade de investimento em uma das principais avenidas da região!  🔹 Área total: 80.000 m² 💰 Valor de venda: R$ 26.000.000,00  ✅ Localização estratégica, com grande fluxo de veículos e visibilidade privilegiada. ✅ Ideal para empreendimentos comerciais, centros logísticos, indústrias, atacadistas ou grandes redes varejistas. ✅ Fácil acesso às principais rodovias e conexões urbanas.  ⚡ Um terreno amplo e versátil, perfeito para transformar grandes projetos em realidade!  📞 Entre em contato e agende uma apresentação!",https://www.adquiraimoveis.net/imovel/terreno/venda/ponta-grossa/pr/chapada/TE1701_IMBADQ,
5,"Terreno à venda, Nova Rússia, Ponta Grossa, PR",RealEstateListing,21315000,BRL,,,,,,,"Ótima oportunidade para investir!  Está disponível para venda um excelente terreno comercial com 7.105,00 m², contando com uma área construída de barracões prontos para uso, ideal para indústrias, concessionárias, comércios de grande porte ou empreendimentos estratégicos. O imóvel está localizado em uma região privilegiada, oferecendo fácil acesso e grande potencial de valorização, não perca essa chance de adquirir um espaço amplo e bem estruturado para o seu negócio. Entre em contato para mais informações e agende uma visita!",https://www.adquiraimoveis.net/imovel/terreno/venda/ponta-grossa/pr/nova-russia/TE1620_IMBADQ,
6,"Terreno à venda 42.402M², Cará-cará, Ponta Grossa - PR",RealEstateListing,15000000,BRL,,,,,,,"Excelente terreno a venda no distrito industrial de Ponta Grossa, sendo aproximadamente 200 metros de frete para Av continental.",https://www.adquiraimoveis.net/imovel/terreno/venda/ponta-grossa/pr/cara-cara/TE0812_IMBADQ,
7,"Apartamento à venda, Centro, Balneário Camboriú, SC",RealEstateListing,14850000,BRL,,,,,,,"Apartamento impecável, com 341 m² de área total, projetado para oferecer conforto máximo e privacidade. São quatro suítes amplas, ambientes integrados e três vagas de garagem demarcadas. Ideal para quem busca exclusividade em empreendimento de alto luxo à beira-mar.  Dependências Internas:  4 suítes com acabamento refinado Banheiro social (BWC social) Sala para dois ambientes (estar e jantar) Cozinha gourmet integrada Lavabo de apoio Lavanderia independente Sacadas espaçosas em todas as suítes Infraestrutura Completa do Condomínio: Portaria 24 horas Piscinas: aquecida, infantil, adulto e térmica Spa com sauna úmida e sauna seca Sala de massagem e sala de automassagem Academia completa Sala de pilates Espaço beauty Salão de festas Sala de jogos Brinquedoteca Playground Espaço gourmet e quiosque gourmet Deck com espelho d’água Lounge interno e lounge externo com pub/boate e pista de dança Terraço com vista panorâmica Quadra poliesportiva Piscina com bar molhado Espaço para Pilates  Diferenciais do Imóvel e do Empreendimento:  Projeto arquitetônico que privilegia iluminação natural e ventilação cruzada Alto padrão de acabamentos em mármore, vidro e metais nobres Unidades limitadas por andar para maior privacidade Vista privilegiada para o mar e para a cidade  Informações Adicionais:  Em condomínio Região/Estado: Litoral – Balneário Camboriú/SC Portaria 24 horas Salão de festas Salão de jogos Quadra poliesportiva Piscinas Brinquedoteca Sauna Playground",https://www.adquiraimoveis.net/imovel/apartamento/venda/balneario-camboriu/sc/centro/AP4714_IMBADQ,
8,"Terreno à venda 80171.69M², Contorno, Ponta Grossa - PR",RealEstateListing,14800000,BRL,,,,,,,"Grande oportunidade para sua empresa ou construção de residencial, amplo terreno localizado na venida presidente kennedy a margem da rodovia BR-376, com fácil acesso de retorno.   Com área total de 80.171,69 m².",https://www.adquiraimoveis.net/imovel/terreno/venda/ponta-grossa/pr/contorno/TE0649_IMBADQ,
9,"Apartamento à venda, Centro, Balneário Camboriú, SC",RealEstateListing,14000000,BRL,,,,,,,"One Tower – Luxo e Exclusividade à Beira-Mar  Apartamento impecável, com vista privilegiada e alto padrão de acabamento: 4 suítes 1 lavabo 3 vagas de garagem Ambientes amplos e integrados Acabamentos sofisticados e modernos  Estrutura Completa de Lazer e Bem-Estar Espaço estar e área de descanso Cinema Academia e espaço fitness Espaço pilates Sauna seca e úmida Sala de massagem  Piscinas: Interna aquecida Térmica Externa com bar molhado Pub Bar Wine bar Adega Espaço gourmet Sala de jogos 2 salões de festas Playground Brinquedoteca Mini quadra poliesportiva Mini golf Pomar  Infraestrutura e Segurança Condomínio fechado Portaria 24 horas Elevadores social e de serviço Hall de entrada decorado  One Tower representa o que há de mais alto em exclusividade, sofisticação e localização privilegiada no litoral. Ideal para quem busca alto padrão, conforto e lazer completo à beira-mar.",https://www.adquiraimoveis.net/imovel/apartamento/venda/balneario-camboriu/sc/centro/AP4720_IMBADQ,
10,"Comercial à venda 46086M², Uvaranas, Ponta Grossa - PR",RealEstateListing,12000000,BRL,,,,,,,Building disponível para venda Não informado,https://www.adquiraimoveis.net/imovel/galpao-barracao/venda/ponta-grossa/pr/uvaranas/CONJ0406_IMBADQ,
